DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Germany,2021,61.51,b,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Germany,2022,60.08,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Germany,2023,66.02,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Germany,2024,79.99,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Germany,2025,82.79,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2019,77.50,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2020,87.40,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2021,88.21,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2022,87.10,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2023,91.94,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2024,90.56,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Denmark,2025,93.67,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,68.86,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,72.01,e,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,72.07,b,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,72.76,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,75.83,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,80.75,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,83.68,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2019,68.88,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2020,70.49,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2021,70.56,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2022,71.28,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2023,76.22,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2024,74.43,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Estonia,2025,78.08,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2019,54.46,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2020,58.07,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2021,62.31,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2022,67.77,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2023,69.10,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2024,71.38,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Greece,2025,78.04,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2019,85.06,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2020,89.48,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2021,90.18,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2022,91.77,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2023,92.53,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2024,93.12,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Spain,2025,94.75,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2019,65.27,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2020,69.00,e,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2021,70.39,b,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2022,71.76,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2023,74.90,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,European Union - 27 countries (from 2020),2024,79.21,,
